county,dti_avg,ltv_avg,income_estimate,pct_nonwhite_estimate,pct_first_time_buyer
13179,35.952,74.356,54993,59.19,11.905
13181,33.45,70.244,67596,31.78,10.0
13183,33.805,76.527,54993,45.344,12.195
13185,33.228,72.855,59281,39.314,17.618
13187,33.183,67.643,67216,11.818,15.319
13189,30.971,72.163,67596,46.842,17.391
13191,33.873,69.938,68432,32.721,18.31
13193,27.0,75.421,55969,65.905,30.0
13195,35.348,72.42,71301,23.75,24.051
13197,27.1,80.386,62459,28.062,10.0
13199,35.736,73.928,84791,42.289,19.78
13201,34.0,67.141,59435,28.807,0.0
13205,32.76,72.715,57004,50.624,16.0
13207,34.11,71.901,62540,28.105,11.538
13209,38.688,73.271,55969,31.152,6.25
13211,32.921,68.741,84791,27.338,9.605
13213,32.872,72.163,58145,21.137,18.44
13215,32.477,76.805,62517,50.024,21.504
13217,35.323,69.303,84791,53.099,15.744
13219,31.828,67.239,71301,17.397,11.963
13221,32.551,71.448,71301,26.652,22.449
13223,34.574,70.26,84791,34.567,17.235
13225,34.418,75.14,78235,43.716,13.265
13227,34.288,69.017,84791,9.129,18.837
13229,32.0,71.836,55969,17.134,10.345
13231,33.052,69.475,84791,13.549,9.195
13233,33.451,69.864,57827,27.942,15.761
13235,35.081,71.202,63529,39.494,24.324
13237,33.819,66.901,63054,21.124,12.5
13239,34.667,59.78,55969,46.76,0.0
13241,32.231,70.68,56649,13.416,9.524
13243,29.5,72.685,55969,56.71,0.0
13245,32.674,75.714,68235,61.058,21.761
13247,36.658,70.622,84791,72.086,15.503
13249,30.154,72.544,56964,25.839,7.692
13251,32.941,71.953,58042,42.923,17.647
13253,30.529,72.798,55969,28.903,17.647
13255,34.372,74.251,84737,37.437,22.656
13257,34.009,71.006,63400,17.333,10.256
13259,40.25,75.735,62459,75.722,25.0
13261,35.265,76.85,55969,56.768,16.327
13263,29.222,71.414,62459,55.271,0.0
13267,36.103,68.372,55969,39.843,13.793
13269,31.562,69.267,55969,37.844,6.25
13271,36.4,69.783,55969,39.007,0.0
13273,30.895,70.223,56166,56.028,21.053
13275,28.574,73.046,60467,41.428,11.243
13277,30.922,76.163,55969,34.014,20.93
13279,33.932,74.072,55969,42.019,16.949
13281,34.194,69.395,58218,8.044,12.037
13283,34.429,63.849,55969,33.74,14.286
13285,32.716,73.867,59610,40.892,20.122
13287,35.765,73.503,55969,43.092,23.529
13289,34.083,81.514,62540,43.587,50.0
13291,32.535,67.032,64226,8.011,9.767
13293,31.408,70.148,55969,29.595,16.327
13295,33.61,73.939,70533,11.771,21.802
13297,34.702,69.201,84791,27.405,17.831
13299,34.115,76.43,55969,34.472,10.345
13301,29.467,71.267,55969,61.662,20.0
13303,32.314,69.853,55969,53.723,14.286
13305,33.082,73.814,56589,27.324,17.647
13307,36.75,72.945,55969,51.5,0.0
13309,31.6,65.322,55969,43.514,20.0
13311,33.518,67.858,70225,10.467,9.292
13313,33.45,73.769,58145,34.606,19.474
13315,34.7,71.188,55969,32.602,10.0
13317,31.826,77.374,55969,45.745,34.783
13319,28.231,69.089,55969,43.206,7.692
13321,33.22,67.033,56166,24.032,17.073
15001,35.653,70.15,80982,63.939,20.932
15003,37.803,67.517,103738,83.692,25.638
15007,37.763,59.519,93873,66.953,19.184
15009,36.997,62.521,92627,64.13,17.468
16001,34.365,66.068,77090,18.745,19.051
16003,36.667,61.388,62532,8.962,21.212
16005,34.602,70.663,66208,17.52,17.684
16007,32.0,66.478,68750,5.808,10.0
16009,36.453,67.783,62532,18.161,13.208
16011,34.959,65.407,67562,21.953,12.863
16013,33.121,54.376,76075,25.818,10.638
16015,34.078,62.697,77090,10.802,10.39
16017,34.337,59.417,65237,10.074,10.412
16019,33.466,68.933,73934,18.8,17.894
16021,35.123,60.909,62532,12.404,13.58
16023,33.778,69.44,73934,9.25,11.111
16025,35.778,78.471,62656,12.91,22.222
16027,35.647,67.317,77090,30.851,19.099
16029,37.379,68.111,65871,9.008,6.897
16031,32.548,67.926,62532,33.958,10.37
16033,36.0,49.082,62532,41.39,0.0
16035,33.294,69.516,65095,9.376,14.706
16037,32.15,68.83,62532,8.94,25.0
16039,34.736,69.287,62532,27.724,19.444
16041,34.595,64.824,69237,10.712,12.214
16043,32.229,61.851,63724,12.419,13.761
16045,34.982,62.333,77090,16.281,16.568
16047,37.076,64.743,62532,35.384,12.658
16049,34.91,62.83,62532,10.818,10.448
16051,35.191,65.683,73934,14.489,14.504
16053,35.475,70.979,62242,40.791,15.823
16055,35.559,62.364,72376,12.836,10.991
16057,33.335,70.549,74885,13.754,26.214
16059,35.276,64.736,62532,8.647,15.517
16061,35.833,77.649,62532,13.893,16.667
16063,33.37,71.376,62532,36.71,22.222
16065,32.25,70.344,62532,13.502,21.622
16067,34.2,69.696,62532,41.205,12.0
16069,36.372,69.113,74144,13.437,8.678
16071,34.486,63.185,64145,6.68,13.514
16073,36.0,65.688,77090,32.488,15.789
16075,36.335,69.058,64932,24.7,13.613
16077,36.0,63.028,66208,39.692,4.167
16079,36.189,70.597,62532,10.887,26.667
16081,33.899,58.811,81010,22.084,19.424
16083,35.389,69.111,62242,24.405,13.876
16085,32.107,61.506,67348,10.913,7.857
16087,33.55,62.107,62532,23.881,5.0
17001,30.96,76.003,72091,10.874,20.0
17003,36.0,82.42,67914,17.71,50.0
17005,31.643,75.388,84758,14.07,26.19
17007,33.552,75.753,69881,29.542,25.373
17009,13.333,89.49,80281,25.053,33.333
17011,32.079,77.576,69987,12.381,30.337
17013,30.769,82.829,84758,4.818,23.077
17015,28.976,79.251,68958,11.943,31.707
17017,30.75,83.995,68958,6.315,25.0
17019,31.307,78.824,83164,32.381,31.385
17021,29.768,77.625,68958,7.321,17.391
17023,25.662,80.406,70011,4.839,14.865
17025,29.667,74.847,68958,6.454,41.667
17027,29.698,75.157,84758,9.303,27.907
17029,26.439,77.677,68958,12.201,35.829
17031,33.799,76.757,92632,47.531,37.51
17033,30.176,77.689,68958,9.462,8.824
17035,26.77,71.47,74659,4.957,13.115
17037,34.283,78.704,92649,22.742,32.162
17039,31.919,83.975,74673,6.317,27.419
17041,28.35,77.566,73040,11.027,23.75
17043,33.719,76.288,92668,35.15,34.734
17045,27.489,80.084,68958,5.238,23.404
17047,34.25,82.182,72526,5.432,50.0
17049,26.206,74.126,77460,6.775,32.99
17051,28.583,74.26,68958,6.62,8.333
17053,27.909,79.215,68958,8.921,40.909
17055,29.104,78.419,68958,6.666,32.836
17057,30.806,83.838,77873,7.618,29.851
17059,28.154,80.133,68958,5.27,30.769
17061,32.167,84.257,68958,4.626,44.444
17063,33.338,76.206,92668,17.842,28.186
17065,26.19,79.799,68958,5.147,21.429
17067,23.706,80.765,70063,6.035,23.529
17069,29.429,77.739,68958,7.533,7.143
