county,dti_avg_2018,ltv_avg_2018,income_estimate_2018,pct_nonwhite_estimate_2018,pct_first_time_buyer_2018,dti_avg_2019,ltv_avg_2019,income_estimate_2019,pct_nonwhite_estimate_2019,pct_first_time_buyer_2019,dti_avg_2020,ltv_avg_2020,income_estimate_2020,pct_nonwhite_estimate_2020,pct_first_time_buyer_2020,dti_avg_2021,ltv_avg_2021,income_estimate_2021,pct_nonwhite_estimate_2021,pct_first_time_buyer_2021,dti_avg_2022,ltv_avg_2022,income_estimate_2022,pct_nonwhite_estimate_2022,pct_first_time_buyer_2022
37143,33.857,74.982,51453,25.883,11.429,32.659,78.413,51309,28.514,11.364,32.097,70.0,53926,26.339,5.612,31.138,70.884,62641,27.325,10.837,32.949,69.149,61471,27.098,18.182
37145,31.055,78.74,72733,28.896,26.199,31.048,77.34,76978,28.961,25.11,28.606,72.872,80199,27.649,14.366,29.301,70.388,82520,28.55,13.057,32.417,72.262,84764,32.493,19.444
37147,31.246,83.353,58390,38.483,34.52,30.231,81.854,60974,36.821,26.755,28.219,78.475,60713,36.266,16.276,28.656,75.109,64059,36.672,14.645,31.758,75.931,63530,44.414,21.97
37149,33.209,71.718,55564,11.628,15.64,30.744,70.766,57113,11.524,12.188,30.423,70.59,59392,11.593,9.474,30.025,67.217,59966,11.378,9.91,30.56,68.122,65766,13.173,12.698
37151,31.82,81.487,56299,16.911,31.336,31.143,81.446,58840,16.208,29.181,29.709,76.436,61049,15.006,16.133,29.803,72.53,63152,16.02,14.537,31.728,74.758,65831,22.589,26.477
37153,31.955,80.148,49289,38.385,20.909,33.595,82.587,51309,40.687,22.414,30.172,77.613,53799,40.235,15.271,29.434,72.538,55814,40.246,10.487,31.762,74.919,57962,44.137,19.337
37155,31.849,80.948,49289,64.607,32.812,32.183,81.367,51309,65.186,32.571,31.446,77.422,53799,65.786,20.074,29.812,71.754,55814,66.185,11.791,32.622,73.675,57962,68.329,20.463
37157,31.146,79.946,56299,21.569,25.112,30.013,77.438,58840,22.009,19.378,28.627,75.937,61049,21.216,13.858,28.73,73.599,63152,21.973,14.4,30.997,73.615,65831,27.07,21.146
37159,32.188,80.626,67278,23.77,26.703,31.803,79.629,70742,23.558,27.265,29.547,74.306,74342,22.198,14.963,30.328,71.214,77814,22.777,13.602,33.053,72.784,80486,29.807,21.377
37161,32.361,77.122,49289,14.568,19.913,32.225,74.34,51309,14.028,14.05,30.586,73.145,53799,13.529,9.952,29.86,70.129,55814,14.24,8.876,33.188,71.778,57962,17.16,16.588
